sample,popnum,popname
ML3811,1,AFU_A
ML3842,1,AFU_A
ML3821,1,AFU_A
ML3813,1,AFU_A
ML3836,1,AFU_A
ML3820,1,AFU_A
ML3798,1,AFU_A
ML3806,1,AFU_A
ML3841,1,AFU_A
ML3790,1,AFU_A
ML3839,1,AFU_A
ML3826,1,AFU_A
ML3735,1,AFU_A
ML3758,1,AFU_A
ML3745,1,AFU_A
ML3746,1,AFU_A
ML3734,1,AFU_A
ML3741,1,AFU_A
ML3740,1,AFU_A
ML3828,1,AFU_A
ML3766,1,AFU_A
ML3825,1,AFU_A
ML3769,1,AFU_A
ML3809,2,BAD_A
ML3789,2,BAD_A
ML3840,2,BAD_A
ML3830,2,BAD_A
ML3829,2,BAD_A
ML3804,2,BAD_A
ML3833,2,BAD_A
ML3812,2,BAD_A
ML3800,2,BAD_A
ML3805,2,BAD_A
ML3824,2,BAD_A
ML3834,2,BAD_A
ML3738,2,BAD_A
ML3774,2,BAD_A
ML3744,2,BAD_A
ML3827,2,BAD_A
ML3733,2,BAD_A
ML3832,2,BAD_A
ML3782,2,BAD_A
ML3721,2,BAD_A
ML3722,2,BAD_A
ML3838,2,BAD_A
ML3737,2,BAD_A
ML3859,3,CON_A
ML3858,3,CON_A
ML3857,3,CON_A
ML3856,3,CON_A
ML3855,3,CON_A
ML3854,3,CON_A
ML3853,3,CON_A
ML3852,3,CON_A
ML3851,3,CON_A
ML3850,3,CON_A
ML3849,3,CON_A
ML3848,3,CON_A
ML3783,3,CON_A
ML3761,3,CON_A
ML3775,3,CON_A
ML3778,3,CON_A
ML3780,3,CON_A
ML3770,3,CON_A
ML3777,3,CON_A
ML3779,3,CON_A
ML3725,3,CON_A
ML3763,3,CON_A
ML3823,3,CON_A
ML3788,4,MOG_A
ML3792,4,MOG_A
ML3795,4,MOG_A
ML3807,4,MOG_A
ML3801,4,MOG_A
ML3791,4,MOG_A
ML3796,4,MOG_A
ML3799,4,MOG_A
ML3863,4,MOG_A
ML3862,4,MOG_A
ML3803,4,MOG_A
ML3797,4,MOG_A
ML3726,4,MOG_A
ML3760,4,MOG_A
ML3776,4,MOG_A
ML3762,4,MOG_A
ML3784,4,MOG_A
ML3822,4,MOG_A
ML3771,4,MOG_A
ML3835,4,MOG_A
ML3728,4,MOG_A
ML3727,4,MOG_A
ML3729,4,MOG_A
ML3808,5,SAB_A
ML3793,5,SAB_A
ML3802,5,SAB_A
ML3843,5,SAB_A
ML3844,5,SAB_A
ML3860,5,SAB_A
ML3814,5,SAB_A
ML3815,5,SAB_A
ML3816,5,SAB_A
ML3845,5,SAB_A
ML3846,5,SAB_A
ML3861,5,SAB_A
ML3785,5,SAB_A
ML3730,5,SAB_A
ML3837,5,SAB_A
ML3731,5,SAB_A
ML3768,5,SAB_A
ML3781,5,SAB_A
ML3772,5,SAB_A
ML3831,5,SAB_A
ML3765,5,SAB_A
ML3767,5,SAB_A
ML3732,5,SAB_A
ML3736,6,UVA_A
ML3773,6,UVA_A
ML3743,6,UVA_A
ML3739,6,UVA_A
ML3747,6,UVA_A
ML3742,6,UVA_A
ML3759,6,UVA_A
ML3748,6,UVA_A
ML3819,6,UVA_A
ML3764,6,UVA_A
ML3750,6,UVA_A
ML3810,6,UVA_A
ML3749,6,UVA_A
ML3723,6,UVA_A
ML3724,6,UVA_A
ML3754,6,UVA_A
ML3751,6,UVA_A
ML3794,6,UVA_A
ML3753,6,UVA_A
ML3752,6,UVA_A
ML3755,6,UVA_A
ML3786,6,UVA_A
